run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
run_1778424061,1,-0.082667,6.6133,0.9880,0.001,0.99,0.025136
run_1778424061,2,-0.090667,7.2533,0.9761,0.001,0.99,0.021544
run_1778424061,3,-0.084458,6.7567,0.9644,0.001,0.99,0.020354
run_1778424061,4,-0.069750,5.5800,0.9529,0.001,0.99,0.018720
run_1778424061,5,-0.077292,6.1833,0.9414,0.001,0.99,0.018929
run_1778424061,6,-0.069625,5.5700,0.9301,0.001,0.99,0.018209
run_1778424061,7,-0.067625,5.4100,0.9190,0.001,0.99,0.017885
run_1778424061,8,-0.077083,6.1667,0.9079,0.001,0.99,0.017867
run_1778424061,9,-0.068375,5.4700,0.8970,0.001,0.99,0.017705
run_1778424061,10,-0.071250,5.7000,0.8863,0.001,0.99,0.017642
run_1778424061,11,-0.090000,7.2000,0.8756,0.001,0.99,0.012711
run_1778424061,12,-0.071708,5.7367,0.8651,0.001,0.99,0.012132
run_1778424061,13,-0.074750,5.9800,0.8548,0.001,0.99,0.011858
run_1778424061,14,-0.079708,6.3767,0.8445,0.001,0.99,0.011262
run_1778424061,15,-0.066083,5.2867,0.8344,0.001,0.99,0.011187
run_1778424061,16,-0.092417,7.3933,0.8243,0.001,0.99,0.011276
run_1778424061,17,-0.080167,6.4133,0.8145,0.001,0.99,0.010861
run_1778424061,18,-0.082292,6.5833,0.8047,0.001,0.99,0.010754
run_1778424061,19,-0.075417,6.0333,0.7950,0.001,0.99,0.010499
run_1778424061,20,-0.075792,6.0633,0.7855,0.001,0.99,0.010546
run_1778424061,21,-0.077625,6.2100,0.7761,0.001,0.99,0.007909
run_1778424061,22,-0.084167,6.7333,0.7667,0.001,0.99,0.007526
run_1778424061,23,-0.078625,6.2900,0.7575,0.001,0.99,0.007348
run_1778424061,24,-0.084417,6.7533,0.7485,0.001,0.99,0.007128
run_1778424061,25,-0.080208,6.4167,0.7395,0.001,0.99,0.006743
run_1778424061,26,-0.074417,5.9533,0.7306,0.001,0.99,0.006654
run_1778424061,27,-0.082417,6.5933,0.7218,0.001,0.99,0.006796
run_1778424061,28,-0.084042,6.7233,0.7132,0.001,0.99,0.006560
run_1778424061,29,-0.086167,6.8933,0.7046,0.001,0.99,0.006587
run_1778424061,30,-0.078250,6.2600,0.6962,0.001,0.99,0.006536
run_1778424061,31,-0.083708,6.6967,0.6878,0.001,0.99,0.005350
run_1778424061,32,-0.074500,5.9600,0.6796,0.001,0.99,0.005033
run_1778424061,33,-0.076958,6.1567,0.6714,0.001,0.99,0.004615
run_1778424061,34,-0.075375,6.0300,0.6633,0.001,0.99,0.004553
run_1778424061,35,-0.069833,5.5867,0.6554,0.001,0.99,0.004436
run_1778424061,36,-0.101208,8.0967,0.6475,0.001,0.99,0.004299
run_1778424061,37,-0.083167,6.6533,0.6397,0.001,0.99,0.004304
run_1778424061,38,-0.093625,7.4900,0.6321,0.001,0.99,0.004140
run_1778424061,39,-0.076500,6.1200,0.6245,0.001,0.99,0.004217
run_1778424061,40,-0.078750,6.3000,0.6170,0.001,0.99,0.004142
run_1778424061,41,-0.082167,6.5733,0.6096,0.001,0.99,0.003973
run_1778424061,42,-0.078875,6.3100,0.6023,0.001,0.99,0.003549
run_1778424061,43,-0.091292,7.3033,0.5950,0.001,0.99,0.003220
run_1778424061,44,-0.075250,6.0200,0.5879,0.001,0.99,0.003111
run_1778424061,45,-0.096333,7.7067,0.5808,0.001,0.99,0.003062
run_1778424061,46,-0.085542,6.8433,0.5739,0.001,0.99,0.002891
run_1778424061,47,-0.068625,5.4900,0.5670,0.001,0.99,0.002911
run_1778424061,48,-0.092792,7.4233,0.5602,0.001,0.99,0.002927
run_1778424061,49,-0.069208,5.5367,0.5535,0.001,0.99,0.002794
run_1778424061,50,-0.081833,6.5467,0.5468,0.001,0.99,0.002824
run_1778424061,51,-0.076417,6.1133,0.5403,0.001,0.99,0.003179
run_1778424061,52,-0.086000,6.8800,0.5338,0.001,0.99,0.002806
run_1778424061,53,-0.084875,6.7900,0.5274,0.001,0.99,0.002458
run_1778424061,54,-0.074792,5.9833,0.5210,0.001,0.99,0.002389
run_1778424061,55,-0.146958,11.7567,0.5148,0.001,0.99,0.002376
run_1778424061,56,-0.087625,7.0100,0.5086,0.001,0.99,0.002404
run_1778424061,57,-0.074375,5.9500,0.5025,0.001,0.99,0.002336
run_1778424061,58,-0.079750,6.3800,0.4965,0.001,0.99,0.002331
run_1778424061,59,-0.089167,7.1333,0.4905,0.001,0.99,0.002299
run_1778424061,60,-0.075667,6.0533,0.4846,0.001,0.99,0.002198
run_1778424061,61,-0.089750,7.1800,0.4788,0.001,0.99,0.003207
run_1778424061,62,-0.099833,7.9867,0.4731,0.001,0.99,0.002605
run_1778424061,63,-0.091917,7.3533,0.4674,0.001,0.99,0.002377
run_1778424061,64,-0.077667,6.2133,0.4618,0.001,0.99,0.002156
run_1778424061,65,-0.089167,7.1333,0.4562,0.001,0.99,0.002103
run_1778424061,66,-0.092750,7.4200,0.4508,0.001,0.99,0.002042
run_1778424061,67,-0.091000,7.2800,0.4454,0.001,0.99,0.002026
run_1778424061,68,-0.099417,7.9533,0.4400,0.001,0.99,0.002021
run_1778424061,69,-0.090500,7.2400,0.4347,0.001,0.99,0.001902
run_1778424061,70,-0.087458,6.9967,0.4295,0.001,0.99,0.001922
run_1778424061,71,-0.089833,7.1867,0.4244,0.001,0.99,0.003323
run_1778424061,72,-0.121708,9.7367,0.4193,0.001,0.99,0.002687
run_1778424061,73,-0.102292,8.1833,0.4142,0.001,0.99,0.002477
run_1778424061,74,-0.091958,7.3567,0.4093,0.001,0.99,0.002293
run_1778424061,75,-0.104208,8.3367,0.4044,0.001,0.99,0.002248
run_1778424061,76,-0.202583,16.2067,0.3995,0.001,0.99,0.002353
run_1778424061,77,-0.086417,6.9133,0.3947,0.001,0.99,0.002227
run_1778424061,78,-0.098625,7.8900,0.3900,0.001,0.99,0.002005
run_1778424061,79,-0.079667,6.3733,0.3853,0.001,0.99,0.002139
run_1778424061,80,-0.075000,6.0000,0.3807,0.001,0.99,0.002089
run_1778424061,81,-0.104333,8.3467,0.3761,0.001,0.99,0.003891
run_1778424061,82,-0.102125,8.1700,0.3716,0.001,0.99,0.003016
run_1778424061,83,-0.103250,8.2600,0.3671,0.001,0.99,0.002705
run_1778424061,84,-0.121417,9.7133,0.3627,0.001,0.99,0.002637
run_1778424061,85,-0.075708,6.0567,0.3584,0.001,0.99,0.002617
run_1778424061,86,-0.089792,7.1833,0.3541,0.001,0.99,0.002528
run_1778424061,87,-0.104583,8.3667,0.3498,0.001,0.99,0.002341
run_1778424061,88,-0.117583,9.4067,0.3456,0.001,0.99,0.002296
run_1778424061,89,-0.127833,10.2267,0.3415,0.001,0.99,0.002041
run_1778424061,90,-0.088500,7.0800,0.3374,0.001,0.99,0.002306
run_1778424061,91,-0.125292,10.0233,0.3333,0.001,0.99,0.004612
run_1778424061,92,-0.095875,7.6700,0.3293,0.001,0.99,0.003885
