run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
dqn_v1_baseline,1,-0.076042,6.0833,0.9880,0.001,0.99,0.008789
dqn_v1_baseline,2,-0.067750,5.4200,0.9761,0.001,0.99,0.006914
dqn_v1_baseline,3,-0.076458,6.1167,0.9644,0.001,0.99,0.005913
dqn_v1_baseline,4,-0.090042,7.2033,0.9529,0.001,0.99,0.005612
dqn_v1_baseline,5,-0.073458,5.8767,0.9414,0.001,0.99,0.005370
dqn_v1_baseline,6,-0.077542,6.2033,0.9301,0.001,0.99,0.005120
dqn_v1_baseline,7,-0.082542,6.6033,0.9190,0.001,0.99,0.004888
dqn_v1_baseline,8,-0.084667,6.7733,0.9079,0.001,0.99,0.004776
dqn_v1_baseline,9,-0.076167,6.0933,0.8970,0.001,0.99,0.004668
dqn_v1_baseline,10,-0.079500,6.3600,0.8863,0.001,0.99,0.004347
dqn_v1_baseline,11,-0.087042,6.9633,0.8756,0.001,0.99,0.004420
dqn_v1_baseline,12,-0.072542,5.8033,0.8651,0.001,0.99,0.003530
dqn_v1_baseline,13,-0.075042,6.0033,0.8548,0.001,0.99,0.003285
dqn_v1_baseline,14,-0.080917,6.4733,0.8445,0.001,0.99,0.003098
dqn_v1_baseline,15,-0.093292,7.4633,0.8344,0.001,0.99,0.003067
dqn_v1_baseline,16,-0.082375,6.5900,0.8243,0.001,0.99,0.003010
dqn_v1_baseline,17,-0.089583,7.1667,0.8145,0.001,0.99,0.002923
dqn_v1_baseline,18,-0.064792,5.1833,0.8047,0.001,0.99,0.002907
dqn_v1_baseline,19,-0.090792,7.2633,0.7950,0.001,0.99,0.002818
dqn_v1_baseline,20,-0.074583,5.9667,0.7855,0.001,0.99,0.002842
dqn_v1_baseline,21,-0.088042,7.0433,0.7761,0.001,0.99,0.003160
dqn_v1_baseline,22,-0.093500,7.4800,0.7667,0.001,0.99,0.002520
dqn_v1_baseline,23,-0.070667,5.6533,0.7575,0.001,0.99,0.002319
dqn_v1_baseline,24,-0.069500,5.5600,0.7485,0.001,0.99,0.002168
dqn_v1_baseline,25,-0.086375,6.9100,0.7395,0.001,0.99,0.002191
dqn_v1_baseline,26,-0.074833,5.9867,0.7306,0.001,0.99,0.002106
dqn_v1_baseline,27,-0.084333,6.7467,0.7218,0.001,0.99,0.002132
dqn_v1_baseline,28,-0.070667,5.6533,0.7132,0.001,0.99,0.002076
dqn_v1_baseline,29,-0.075167,6.0133,0.7046,0.001,0.99,0.002041
dqn_v1_baseline,30,-0.078625,6.2900,0.6962,0.001,0.99,0.001995
dqn_v1_baseline,31,-0.076333,6.1067,0.6878,0.001,0.99,0.002593
dqn_v1_baseline,32,-0.082250,6.5800,0.6796,0.001,0.99,0.002066
dqn_v1_baseline,33,-0.084917,6.7933,0.6714,0.001,0.99,0.001831
dqn_v1_baseline,34,-0.083917,6.7133,0.6633,0.001,0.99,0.001794
dqn_v1_baseline,35,-0.070750,5.6600,0.6554,0.001,0.99,0.001713
dqn_v1_baseline,36,-0.067833,5.4267,0.6475,0.001,0.99,0.001690
dqn_v1_baseline,37,-0.083500,6.6800,0.6397,0.001,0.99,0.001597
dqn_v1_baseline,38,-0.088833,7.1067,0.6321,0.001,0.99,0.001580
dqn_v1_baseline,39,-0.079583,6.3667,0.6245,0.001,0.99,0.001622
dqn_v1_baseline,40,-0.084958,6.7967,0.6170,0.001,0.99,0.001593
dqn_v1_baseline,41,-0.080000,6.4000,0.6096,0.001,0.99,0.002458
dqn_v1_baseline,42,-0.066917,5.3533,0.6023,0.001,0.99,0.001874
dqn_v1_baseline,43,-0.073250,5.8600,0.5950,0.001,0.99,0.001689
dqn_v1_baseline,44,-0.079458,6.3567,0.5879,0.001,0.99,0.001596
dqn_v1_baseline,45,-0.088417,7.0733,0.5808,0.001,0.99,0.001595
dqn_v1_baseline,46,-0.090708,7.2567,0.5739,0.001,0.99,0.001603
dqn_v1_baseline,47,-0.094708,7.5767,0.5670,0.001,0.99,0.001534
dqn_v1_baseline,48,-0.084625,6.7700,0.5602,0.001,0.99,0.001555
dqn_v1_baseline,49,-0.084083,6.7267,0.5535,0.001,0.99,0.001489
dqn_v1_baseline,50,-0.071833,5.7467,0.5468,0.001,0.99,0.001522
dqn_v1_baseline,51,-0.087458,6.9967,0.5403,0.001,0.99,0.002536
dqn_v1_baseline,52,-0.083208,6.6567,0.5338,0.001,0.99,0.001921
dqn_v1_baseline,53,-0.089417,7.1533,0.5274,0.001,0.99,0.001818
dqn_v1_baseline,54,-0.085708,6.8567,0.5210,0.001,0.99,0.001676
dqn_v1_baseline,55,-0.070125,5.6100,0.5148,0.001,0.99,0.001647
dqn_v1_baseline,56,-0.089708,7.1767,0.5086,0.001,0.99,0.001547
dqn_v1_baseline,57,-0.074375,5.9500,0.5025,0.001,0.99,0.001623
dqn_v1_baseline,58,-0.085083,6.8067,0.4965,0.001,0.99,0.001585
dqn_v1_baseline,59,-0.077917,6.2333,0.4905,0.001,0.99,0.001500
dqn_v1_baseline,60,-0.095375,7.6300,0.4846,0.001,0.99,0.001570
dqn_v1_baseline,61,-0.084833,6.7867,0.4788,0.001,0.99,0.002835
dqn_v1_baseline,62,-0.086667,6.9333,0.4731,0.001,0.99,0.002197
dqn_v1_baseline,63,-0.093917,7.5133,0.4674,0.001,0.99,0.001997
dqn_v1_baseline,64,-0.081250,6.5000,0.4618,0.001,0.99,0.001948
dqn_v1_baseline,65,-0.091917,7.3533,0.4562,0.001,0.99,0.001877
dqn_v1_baseline,66,-0.081292,6.5033,0.4508,0.001,0.99,0.001924
dqn_v1_baseline,67,-0.074292,5.9433,0.4454,0.001,0.99,0.001859
dqn_v1_baseline,68,-0.084375,6.7500,0.4400,0.001,0.99,0.001783
dqn_v1_baseline,69,-0.076583,6.1267,0.4347,0.001,0.99,0.001778
dqn_v1_baseline,70,-0.090292,7.2233,0.4295,0.001,0.99,0.001819
dqn_v1_baseline,71,-0.079167,6.3333,0.4244,0.001,0.99,0.003061
dqn_v1_baseline,72,-0.066875,5.3500,0.4193,0.001,0.99,0.002286
dqn_v1_baseline,73,-0.077458,6.1967,0.4142,0.001,0.99,0.002177
dqn_v1_baseline,74,-0.072417,5.7933,0.4093,0.001,0.99,0.002086
dqn_v1_baseline,75,-0.076167,6.0933,0.4044,0.001,0.99,0.002227
dqn_v1_baseline,76,-0.075917,6.0733,0.3995,0.001,0.99,0.002158
dqn_v1_baseline,77,-0.072708,5.8167,0.3947,0.001,0.99,0.002200
